variable_name,actions,week
spacing/s,0,2025-11-09
background/tertiary,0,2025-11-09
border/:pressed,0,2025-11-09
text/secondary,0,2025-11-09
text/:focus,0,2025-11-09
border/secondary,0,2025-11-09
spacing/none,0,2025-11-09
text/sale,0,2025-11-09
background/secondary,0,2025-11-09
spacing/xl,0,2025-11-09
Object sizes/interactive/4xl-objectSize,0,2025-11-09
background/:selected,0,2025-11-09
Object sizes/interactive/lg-objectSize,0,2025-11-09
background/primary,0,2025-11-09
border-width/l,0,2025-11-09
text/brand,0,2025-11-09
Object sizes/interactive/2xl-objectSize,0,2025-11-09
Object sizes/default/3xl-objectSize,0,2025-11-09
text/positive,0,2025-11-09
border/negative,0,2025-11-09
Object sizes/interactive/5xl-objectSize,0,2025-11-09
spacing/xs,0,2025-11-09
Object sizes/interactive/sm-objectSize,0,2025-11-09
text/inverse,0,2025-11-09
text/:selected,0,2025-11-09
spacing/2xl,0,2025-11-09
spacing/l,0,2025-11-09
background/sale,0,2025-11-09
Object sizes/interactive/xl-objectSize,0,2025-11-09
Object sizes/interactive/3xl-objectSize,0,2025-11-09
spacing/m,0,2025-11-09
spacing/3xs,0,2025-11-09
text/:pressed,0,2025-11-09
Object sizes/default/xl-objectSize,0,2025-11-09
Object sizes/default/6xl-objectSize,0,2025-11-09
spacing/2xs,0,2025-11-09
border-radius/m,0,2025-11-09
border/:selected,0,2025-11-09
border/positive,0,2025-11-09
border-radius/l,0,2025-11-09
text/negative,0,2025-11-09
border-radius/rounded,0,2025-11-09
Object sizes/default/sm-objectSize,0,2025-11-09
Object sizes/default/2xl-objectSize,0,2025-11-09
background/overlay,0,2025-11-09
border/primary,0,2025-11-09
text/[🚧 Deprecated—USE INVERSE] on-positive,0,2025-11-09
Object sizes/default/lg-objectSize,0,2025-11-09
text/[🚧 Deprecated—USE INVERSE] on-sale,0,2025-11-09
border/interactive,0,2025-11-09
opacity/disabled,0,2025-11-09
text/primary,0,2025-11-09
border-width/s,0,2025-11-09
border-width/m,0,2025-11-09
background/positive,0,2025-11-09
background/negative,0,2025-11-09
Object sizes/interactive/6xl-objectSize,0,2025-11-09
border-radius/none,0,2025-11-09
text/interactive,0,2025-11-09
Object sizes/interactive/xs-objectSize,0,2025-11-09
background/default,0,2025-11-09
background/brand,0,2025-11-09
background/primary,0,2025-11-02
background/secondary,0,2025-11-02
border-radius/m,0,2025-11-02
spacing/2xl,0,2025-11-02
text/:pressed,0,2025-11-02
Object sizes/interactive/6xl-objectSize,0,2025-11-02
Object sizes/default/xl-objectSize,0,2025-11-02
text/:hover,0,2025-11-02
border/positive,0,2025-11-02
background/:focus,0,2025-11-02
background/tertiary,0,2025-11-02
spacing/m,0,2025-11-02
text/positive,0,2025-11-02
Object sizes/interactive/5xl-objectSize,0,2025-11-02
border/primary,0,2025-11-02
border/interactive,0,2025-11-02
background/positive,0,2025-11-02
Object sizes/interactive/xl-objectSize,0,2025-11-02
opacity/disabled,0,2025-11-02
border-radius/s,0,2025-11-02
background/sale,0,2025-11-02
text/negative,0,2025-11-02
background/:hover,0,2025-11-02
border-width/s,0,2025-11-02
Object sizes/interactive/sm-objectSize,0,2025-11-02
Object sizes/interactive/md-objectSize,0,2025-11-02
spacing/xs,0,2025-11-02
text/[🚧 Deprecated—USE INVERSE] on-positive,0,2025-11-02
Object sizes/default/6xl-objectSize,0,2025-11-02
background/:selected,0,2025-11-02
spacing/2xs,0,2025-11-02
background/brand,0,2025-11-02
Object sizes/interactive/3xl-objectSize,0,2025-11-02
spacing/3xs,0,2025-11-02
spacing/xl,0,2025-11-02
Object sizes/interactive/4xl-objectSize,0,2025-11-02
Object sizes/default/3xl-objectSize,0,2025-11-02
border-width/m,0,2025-11-02
spacing/l,0,2025-11-02
background/default,0,2025-11-02
Object sizes/default/lg-objectSize,0,2025-11-02
border/secondary,0,2025-11-02
text/secondary,0,2025-11-02
border-radius/rounded,0,2025-11-02
Object sizes/default/sm-objectSize,0,2025-11-02
background/overlay,0,2025-11-02
Object sizes/interactive/2xl-objectSize,0,2025-11-02
text/primary,0,2025-11-02
Object sizes/default/2xl-objectSize,0,2025-11-02
Object sizes/interactive/xs-objectSize,0,2025-11-02
border-width/l,0,2025-11-02
spacing/s,0,2025-11-02
border/:pressed,0,2025-11-02
text/interactive,0,2025-11-02
text/:focus,0,2025-11-02
Object sizes/interactive/xxs-objectSize,0,2025-11-02
border/negative,0,2025-11-02
border-radius/none,0,2025-11-02
background/negative,0,2025-11-02
border-radius/l,0,2025-11-02
text/[🚧 Deprecated—USE INVERSE] on-sale,0,2025-11-02
text/brand,0,2025-11-02
text/sale,0,2025-11-02
Object sizes/interactive/lg-objectSize,0,2025-11-02
spacing/none,0,2025-11-02
text/inverse,0,2025-11-02
text/:selected,0,2025-11-02
spacing/2xs,0,2025-10-26
border-width/m,0,2025-10-26
background/default,0,2025-10-26
background/:focus,0,2025-10-26
text/brand,0,2025-10-26
text/negative,0,2025-10-26
text/inverse,0,2025-10-26
Object sizes/interactive/5xl-objectSize,0,2025-10-26
background/:hover,0,2025-10-26
Object sizes/interactive/xxs-objectSize,0,2025-10-26
border-radius/s,0,2025-10-26
Object sizes/default/lg-objectSize,0,2025-10-26
border/secondary,0,2025-10-26
background/primary,0,2025-10-26
text/secondary,0,2025-10-26
spacing/3xs,0,2025-10-26
spacing/xs,0,2025-10-26
background/:selected,0,2025-10-26
background/overlay,0,2025-10-26
Object sizes/interactive/3xl-objectSize,0,2025-10-26
spacing/xl,0,2025-10-26
spacing/l,0,2025-10-26
Object sizes/default/3xl-objectSize,0,2025-10-26
background/positive,0,2025-10-26
text/[🚧 Deprecated—USE INVERSE] on-sale,0,2025-10-26
spacing/m,0,2025-10-26
Object sizes/interactive/2xl-objectSize,0,2025-10-26
text/[🚧 Deprecated—USE INVERSE] on-positive,0,2025-10-26
spacing/2xl,0,2025-10-26
text/positive,0,2025-10-26
border/interactive,0,2025-10-26
background/sale,0,2025-10-26
Object sizes/interactive/4xl-objectSize,0,2025-10-26
text/primary,0,2025-10-26
background/secondary,0,2025-10-26
border-radius/l,0,2025-10-26
border/positive,0,2025-10-26
text/interactive,0,2025-10-26
border-width/l,0,2025-10-26
border-width/s,0,2025-10-26
background/negative,0,2025-10-26
Object sizes/interactive/lg-objectSize,0,2025-10-26
border/primary,0,2025-10-26
Object sizes/default/xl-objectSize,0,2025-10-26
text/:focus,0,2025-10-26
background/tertiary,0,2025-10-26
Object sizes/default/sm-objectSize,0,2025-10-26
spacing/none,0,2025-10-26
border-radius/m,0,2025-10-26
text/:hover,0,2025-10-26
Object sizes/interactive/sm-objectSize,0,2025-10-26
background/:pressed,0,2025-10-26
Object sizes/interactive/xl-objectSize,0,2025-10-26
border-radius/none,0,2025-10-26
Object sizes/default/2xl-objectSize,0,2025-10-26
text/sale,0,2025-10-26
Object sizes/interactive/6xl-objectSize,0,2025-10-26
background/brand,0,2025-10-26
spacing/s,0,2025-10-26
text/:pressed,0,2025-10-26
border/negative,0,2025-10-26
border-radius/rounded,0,2025-10-26
Object sizes/default/6xl-objectSize,0,2025-10-26
border/:pressed,0,2025-10-26
Object sizes/default/2xl-objectSize,0,2025-10-19
Object sizes/interactive/2xl-objectSize,0,2025-10-19
Object sizes/default/lg-objectSize,0,2025-10-19
background/sale,0,2025-10-19
spacing/3xs,0,2025-10-19
Object sizes/default/3xl-objectSize,0,2025-10-19
border/secondary,0,2025-10-19
text/secondary,0,2025-10-19
background/overlay,0,2025-10-19
opacity/disabled,0,2025-10-19
spacing/xl,0,2025-10-19
Object sizes/default/6xl-objectSize,0,2025-10-19
text/positive,0,2025-10-19
border-radius/m,0,2025-10-19
Object sizes/default/xs-objectSize,0,2025-10-19
border/:pressed,0,2025-10-19
background/brand,0,2025-10-19
border/negative,0,2025-10-19
text/inverse,0,2025-10-19
border/interactive,0,2025-10-19
Object sizes/interactive/xl-objectSize,0,2025-10-19
border-width/s,0,2025-10-19
Object sizes/default/xxs-objectSize,0,2025-10-19
text/[🚧 Deprecated—USE INVERSE] on-sale,0,2025-10-19
border-radius/none,0,2025-10-19
spacing/none,0,2025-10-19
Object sizes/default/xl-objectSize,0,2025-10-19
border-radius/rounded,0,2025-10-19
Object sizes/default/5xl-objectSize,0,2025-10-19
spacing/2xs,0,2025-10-19
background/default,0,2025-10-19
background/negative,0,2025-10-19
spacing/2xl,0,2025-10-19
background/:selected,0,2025-10-19
Object sizes/default/sm-objectSize,0,2025-10-19
text/[🚧 Deprecated—USE INVERSE] on-positive,0,2025-10-19
text/brand,0,2025-10-19
Object sizes/interactive/xs-objectSize,0,2025-10-19
border/primary,0,2025-10-19
text/sale,0,2025-10-19
spacing/xs,0,2025-10-19
spacing/l,0,2025-10-19
border-radius/l,0,2025-10-19
Object sizes/interactive/4xl-objectSize,0,2025-10-19
Object sizes/interactive/5xl-objectSize,0,2025-10-19
background/primary,0,2025-10-19
Object sizes/interactive/sm-objectSize,0,2025-10-19
background/positive,0,2025-10-19
text/negative,0,2025-10-19
spacing/s,0,2025-10-19
border-width/m,0,2025-10-19
spacing/m,0,2025-10-19
background/:hover,0,2025-10-19
background/secondary,0,2025-10-19
border-width/l,0,2025-10-19
Object sizes/interactive/6xl-objectSize,0,2025-10-19
border-radius/s,0,2025-10-19
background/tertiary,0,2025-10-19
Object sizes/default/4xl-objectSize,0,2025-10-19
border/:selected,0,2025-10-19
text/interactive,0,2025-10-19
text/primary,0,2025-10-19
Object sizes/interactive/lg-objectSize,0,2025-10-19
Object sizes/interactive/md-objectSize,0,2025-10-19
Object sizes/interactive/3xl-objectSize,0,2025-10-19
border/positive,0,2025-10-19
border-radius/m,0,2025-10-12
Object sizes/interactive/2xl-objectSize,0,2025-10-12
text/[🚧 Deprecated—USE INVERSE] on-positive,0,2025-10-12
Object sizes/interactive/xl-objectSize,0,2025-10-12
Object sizes/default/3xl-objectSize,0,2025-10-12
Object sizes/interactive/xs-objectSize,0,2025-10-12
text/[🚧 Deprecated—USE INVERSE] on-sale,0,2025-10-12
border/primary,0,2025-10-12
Object sizes/interactive/6xl-objectSize,0,2025-10-12
background/:hover,0,2025-10-12
