component_name,component_set_name,file_name,instances
"State=Disabled, Type=Default",🚧 [DEPRECATED] Selector,Unknown File,0
Icon - Facecare,,Unknown File,0
"Type=Default, State=Disabled, Label=On, Optional=No, Message=None",🚧 [DEPRECATED] Dropdown Trigger (Default),Unknown File,0
Icon - Infinite,,Unknown File,0
Icon -  Avatar E,,Unknown File,0
Type=Write,Linear scale,Unknown File,0
"Range=Half, State=Default",Range slider,Unknown File,0
Breakpoints=1024 - 1279,Footer,Unknown File,0
Type=Dark mode,Home indicator (iOS),Unknown File,0
"Type=Default, State=Selected, Label=Off, Optional=No, Message=None",🚧 [DEPRECATED] Dropdown Trigger (Default),Unknown File,0
Icon - Box Mixed,,Unknown File,0
"Platform=App, Type=Default, Icon (Optional)=Off, Text link (Optional)=Off",🚧 [DEPRECATED] Notifications,Unknown File,0
"Platform=App, Type=Error, Icon (Optional)=On, Text link (Optional)=On",🚧 [DEPRECATED] Notifications,Unknown File,0
"Type=Category, Platform=Mobile web, State=Default",🚧 [DEPRECATED] Search bar,Unknown File,0
Icon - Shaving (Men),,Unknown File,0
"Platform=iOS, CTA Length=Short, Intention=Ping",Dialog (App),Unknown File,0
Icon - Bra,,Unknown File,0
Icon - Inspiration (Other),,Unknown File,0
"Platform=App, Type=Success, Icon (Optional)=Off, Text link (Optional)=On",🚧 [DEPRECATED] Notifications,Unknown File,0
Icon - Feather,,Unknown File,0
Icon - Avocado,,Unknown File,0
Icon - Shoes (Ballet Pumps),,Unknown File,0
"On/off=No, State=Disabled",Switch,Unknown File,0
Icon - Sunglasses,,Unknown File,0
"State=Max length, Optional=No, Message=None",Text area,Unknown File,0
Icon -  Avatar C,,Unknown File,0
Type=Prix Mini,Flag,Unknown File,0
Icon - Zalando Plus,,Unknown File,0
"Type=With label, State=Default",Rating stars,Unknown File,0
Platform=Web,Icon button - More,Unknown File,0
"Direction=Horizontal, Text=None, State=Inactive, Type=Icon",Progress Stepper,Unknown File,0
Icon - Thumbs Up (filled),,Unknown File,0
"Platform=Web, State=Default",Icon button - Trade-in,Unknown File,0
"Type=Logo, Color=White",Zalando Logo,Unknown File,0
"Type=Default, State=Hover, Label=On, Optional=No, Message=None",🚧 [DEPRECATED] Dropdown Trigger (Default),Unknown File,0
Type=Native - Item,Dropdown Menu (Desktop),Unknown File,0
Type=2. Almost square,Image ratio,Unknown File,0
Icon - Hoodies,,Unknown File,0
"States=Selected, Type=Number, Orientation=Vertical, Text=One",🚧 [DEPRECATED] Progress Stepper,Unknown File,0
"Type=Switch, Lines=Multi, State=Deselected, With icon=Yes",🚧 [DEPRECATED] List - Controls,Unknown File,0
Country=Switzerland (CH),Country flag,Unknown File,0
"Platform=App, Type=Standard, Size=Small, State=Default",Link,Unknown File,0
"States=Completed, Type=Icon, Orientation=Vertical, Text=One",🚧 [DEPRECATED] Progress Stepper,Unknown File,0
"Checked=Off, State=Disabled",Checkbox,Unknown File,0
Icon - Shoes (Sports shoes - Kids),,Unknown File,0
Icon - Bug,,Unknown File,0
Type=Success,Input message,Unknown File,0
Icon - Football American,,Unknown File,0
Icon - Shoes (Sandals),,Unknown File,0
"Type=Default, State=Default",Dropdown Trigger (default),Unknown File,0
"State=Default, Label=No, Optional=Off, Message=None, Icon=Leading",Text input,Unknown File,0
"On/off=Yes, State=Disabled",Switch,Unknown File,0
Icon - Set (Women),,Unknown File,0
Pill animated,,Unknown File,0
"Type=Single/Multiselect, State=Deselected",List - Controls,Unknown File,0
Icon - Bandaid,,Unknown File,0
Icon - Shoes (Ankle Boots),,Unknown File,0
"Type=List Item, Lines=One, Style=Regular, States=Disabled, Icon=True, Chevron=True",List - Item (Default),Unknown File,0
Icon - Full Length Mirror,,Unknown File,0
Icon - Waterproof,,Unknown File,0
"State=Default, Label=No, Optional=Off, Message=None, Icon=None",Text input,Unknown File,0
Platform=iOS,Top bar catalogue,Unknown File,0
"Platform=App, Type=Error, Icon (Optional)=On, Text link (Optional)=Off",🚧 [DEPRECATED] Notifications,Unknown File,0
Icon - Chemicals Bubbles,,Unknown File,0
Icon - TikTok,,Unknown File,0
"With icon=False, State=Default, Size=Small",Follow button,Unknown File,0
Icon - Jumpsuits (Women),,Unknown File,0
Icon - Shoes (Outdoor Shoes),,Unknown File,0
"State=Default, Label=No, Optional=Off, Message=None, Icon=Trailing",Text input,Unknown File,0
Icon - Suncare,,Unknown File,0
Country=Poland (PL),Country flag,Unknown File,0
Icon - Homescreen Logo,,Unknown File,0
"State=Default, Label=Yes, Optional=Off, Message=Error, Icon=Trailing",Text input,Unknown File,0
Icon - Bell (Filled),,Unknown File,0
Icon - Lock Open,,Unknown File,0
"State=Default, Label=Yes, Optional=Off, Message=Informative, Icon=Trailing",Text input,Unknown File,0
Icon - Tent,,Unknown File,0
Icon - Umbrella,,Unknown File,0
Icon - Lip Care,,Unknown File,0
Icon - Breathable fabric,,Unknown File,0
State=Selected,Reminder button,Unknown File,0
Icon - Jumpsuits (Kids),,Unknown File,0
"State=Disabled, Description=On, Message=None",🚧 [DEPRECATED] Radio button,Unknown File,0
"State=Deselected, Description=Off, Message=Error",🚧 [DEPRECATED] Radio button,Unknown File,0
"Left action=Back (Arrow), Number of titles=2, Right Action=1 icon",Top bar (Android),Unknown File,0
"Platform=App, Type=Icon, Size=Small, State=Default",Link,Unknown File,0
"Platform=Desktop, Link color=White, Overlay=Off",Embedded Navigation,Unknown File,0
Country=United Kingdom (UK),Country flag,Unknown File,0
"State=Selected, Label=Yes, Optional=Off, Message=None, Icon=Trailing",Text input,Unknown File,0
Icon - Digital Review,,Unknown File,0
Type=Next (First Page),Pagination (Web),Unknown File,0
Country=Netherlands (NL),Country flag,Unknown File,0
"State=Deselected, Description=Off, Message=Informative",🚧 [DEPRECATED] Radio button,Unknown File,0
Icon - Shorts (Women),,Unknown File,0
"State=Active, Label=Yes, Optional=Off, Message=None, Icon=Trailing",Text input,Unknown File,0
"State=Default, Label=Yes, Optional=Off, Message=None, Icon=Leading",Text input,Unknown File,0
"State=Hover (Web only), Description=On, Message=None",🚧 [DEPRECATED] Radio button,Unknown File,0
Country=Spain (ES),Country flag,Unknown File,0
Platform=Android,Status bar,Unknown File,0
Size=Medium,Plus Logo,Unknown File,0
Type=2 Levels,Category tree,Unknown File,0
Icon - Chemicals Leaf,,Unknown File,0
Icon - Sports Equipment,,Unknown File,0
Icon - View square,,Unknown File,0
Country=France (FR),Country flag,Unknown File,0
Icon - Volleyball,,Unknown File,0
"State=Hover, Size=Medium",Text buttons,Unknown File,0
Icon - Butterfly,,Unknown File,0
Type=Up,Icon button - Navigation arrow,Unknown File,0
"Breakpoint=375 (Mobile), Size=Small, Header (Optional)=On, Title (Optional)=On, Footer (Optional)=On",Dialog (Web),Unknown File,0
Country=Finland (FI),Country flag,Unknown File,0
Icon - Calendar (30 days),,Unknown File,0
Icon - Space,,Unknown File,0
Icon - Nails,,Unknown File,0
Icon - Suits (Women),,Unknown File,0
Type=Negative,Flag,Unknown File,0
"Platform=Web, Type=Default, Icon (Optional)=Off, Text link (Optional)=Off",🚧 [DEPRECATED] Notifications,Unknown File,0
"Buttons=None, Visual=None",Tooltip,Unknown File,0
"Type=Secondary, State=Disabled, Size=Default",Button,Unknown File,0
"States=Disabled, Type=Number, Orientation=Horizontal, Text=None (Zero)",🚧 [DEPRECATED] Progress Stepper,Unknown File,0
Icon - Shoes (Lace-Up Boots),,Unknown File,0
"Type=Tertiary, State=Disabled, Size=Small",Button,Unknown File,0
"Platform=App, Type=Success, Icon (Optional)=Off, Text link (Optional)=Off",🚧 [DEPRECATED] Notifications,Unknown File,0
Country=Norway (NO),Country flag,Unknown File,0
Country=Sweden (SE),Country flag,Unknown File,0
"Panel=Default, State=Expanded, Optional=Off, Subtext=Off, Static content=On",Panel,Unknown File,0
"Platform=App, Type=Error",Notifications,Unknown File,0
Country=Denmark (DK),Country flag,Unknown File,0
Colour=Original,🚧 [DEPRECATED] Zalando Plus Pill Logo,Unknown File,0
"Platform=App, Type=Standard, Size=Medium, State=Default",Link,Unknown File,0
Icon - Mascara,,Unknown File,0
Icon - Basketball,,Unknown File,0
"State=Disabled, Size=Large",Text buttons,Unknown File,0
"Platform=App, Type=Default",Notifications,Unknown File,0
"State=Disabled, Label=Yes, Optional=Off, Message=None, Icon=None",Text input,Unknown File,0
Icon -  Avatar F,,Unknown File,0
"Platform=Mobile/App, Link color=Black, Overlay=On",Embedded Navigation,Unknown File,0
"Active=Active, Size=Small",Plus Points Logo,Unknown File,0
Country=Czech (CZ),Country flag,Unknown File,0
"Breakpoint=375 (Mobile), Size=Medium, Header (Optional)=On, Title (Optional)=Off, Footer (Optional)=Off",Dialog (Web),Unknown File,0
Icon - Durable fabric,,Unknown File,0
Icon - Cardigan (Men),,Unknown File,0
"Direction=Vertical, Text=None, State=Completed, Type=Number",Progress Stepper,Unknown File,0
Icon - Cardigan (Women),,Unknown File,0
"States=Selected, Type=Number, Orientation=Horizontal, Text=None (Zero)",🚧 [DEPRECATED] Progress Stepper,Unknown File,0
Icon - Code,,Unknown File,0
"Direction=Horizontal, Text=None, State=Completed, Type=Icon",Progress Stepper,Unknown File,0
Icon - Scarves & Shawls,,Unknown File,0
"Platform=Web, Type=Default, Icon (Optional)=Off, Text link (Optional)=On",🚧 [DEPRECATED] Notifications,Unknown File,0
"State=Selected, Size=Small",Text buttons,Unknown File,0
Breakpoint=Tablet 768 <-> 1023,Carousel Header (Web),Unknown File,0
Icon - Skirts (Kids),,Unknown File,0
"Platform=Mobile/App, Link color=White, Overlay=Off",Embedded Navigation,Unknown File,0
"Breakpoint=1280+ (Desktop), Size=Small, Header (Optional)=On, Title (Optional)=On, Footer (Optional)=On",Dialog (Web),Unknown File,0
Icon - Necklaces (Women),,Unknown File,0
Platform=Android,Status bar,Unknown File,0
Icon - New,,Unknown File,0
"State=Active, Badge=No",Dropdown Icon Trigger,Unknown File,0
"Platform=App, Outline=Off, State=Mute",Icon button - Mute sound,Unknown File,0
"Breakpoint=1280+ (Desktop), Size=Large, Header (Optional)=On, Title (Optional)=On, Footer (Optional)=On",Dialog (Web),Unknown File,0
"Panel=Default, State=Collapsed, Optional=Off, Subtext=Off, Static content=Off",Panel,Unknown File,0
Icon - Creditcard Scan,,Unknown File,0
Type=Vertical,Checkbox group,Unknown File,0
"Platform=Web, Type=Standard link, State=Hover (web), Size=Large",🚧 [DEPRECATED] Link,Unknown File,0
Icon - Multipacks (Baby),,Unknown File,0
"With icon=True, State=Hover, Size=Small",Follow button,Unknown File,0
Icon - Headphones,,Unknown File,0
"Left action=Back (Arrow), Number of titles=2, Right Action=None",Top bar (Android),Unknown File,0
Icon - Bunny,,Unknown File,0
"States=Completed, Type=Number, Orientation=Horizontal, Text=Two",🚧 [DEPRECATED] Progress Stepper,Unknown File,0
Icon - Two Half Layers,,Unknown File,0
"Type=Switch, Lines=Single, State=Deselected, With icon=No",🚧 [DEPRECATED] List - Controls,Unknown File,0
Type=Default,🚧 [DEPRECATED] Plus short,Unknown File,0
Icon - Suits (Men),,Unknown File,0
"Type=Color swatch, State=Active, Label=On, Optional=No, Message=None",🚧 [DEPRECATED] Dropdown Trigger (Default),Unknown File,0
Icon - Shoes (Boots),,Unknown File,0
"Type=Tertiary, State=Selected, Size=Small",Button,Unknown File,0
"State=Default, Label=Yes, Optional=Off, Message=Informative, Icon=Leading",Text input,Unknown File,0
State=Active,Sorting Dropdown Trigger,Unknown File,0
"Platform=App, Type=Icon, Size=Medium, State=Default",Link,Unknown File,0
Icon - Rings,,Unknown File,0
Icon - Shopping Bag Plus,,Unknown File,0
Breakpoints=768 - 1023,Footer,Unknown File,0
"Breakpoint=375 (Mobile), Size=Medium, Header (Optional)=On, Title (Optional)=On, Footer (Optional)=On",Dialog (Web),Unknown File,0
Icon - Baby Gifts (Kids),,Unknown File,0
Icon - Elephant,,Unknown File,0
"Platform=Web, Type=Icon link, State=Hover (web), Size=Large",🚧 [DEPRECATED] Link,Unknown File,0
"Type=Filter, Platform=mWeb, State=Focused filled",Search bar,Unknown File,0
"Type=Category, Platform=Android, State=Default",Search bar,Unknown File,0
Icon - Microphone,,Unknown File,0
"Breakpoint=1280+ (Desktop), Size=Medium, Header (Optional)=On, Title (Optional)=On, Footer (Optional)=On",Dialog (Web),Unknown File,0
Icon - Dentalcare,,Unknown File,0
Icon - T-shirts (Kids),,Unknown File,0
"Type=Primary, State=Hover, Size=Default",Button,Unknown File,0
Size=Small,Plus Wordmark,Unknown File,0
Type=Default,🚧 [DEPRECATED] Plus short,Unknown File,0
"State=Max length, Optional=Yes, Message=None",Text area,Unknown File,0
Icon - Belts,,Unknown File,0
State=Hover,Reminder button,Unknown File,0
Icon - Set (Men),,Unknown File,0
"Type=Category, Platform=iOS, State=Focused (Filled)",🚧 [DEPRECATED] Search bar,Unknown File,0
"Type=Default, State=Default, Label=On, Optional=No, Message=Error",🚧 [DEPRECATED] Dropdown Trigger (Default),Unknown File,0
"Direction=Vertical, Text=None, State=Inactive, Type=Number",Progress Stepper,Unknown File,0
"Platform=App, State=Selected",Icon button - Reminder,Unknown File,0
Icon - Wine Glass,,Unknown File,0
"Type=Color swatch, State=Hover, Label=On, Optional=No, Message=None",🚧 [DEPRECATED] Dropdown Trigger (Default),Unknown File,0
Icon - Shell,,Unknown File,0
Icon - Underwear (Swimming pants - Men),,Unknown File,0
Icon - Watch,,Unknown File,0
"Platform=Web, Type=Success",Notifications,Unknown File,0
Icon - Socks,,Unknown File,0
"States=Selected, Type=Icon, Orientation=Horizontal, Text=One",🚧 [DEPRECATED] Progress Stepper,Unknown File,0
"State=Default, Label=Yes, Optional=On, Message=None, Icon=Leading",Text input,Unknown File,0
"Direction=Horizontal, Text=None, State=Selected, Type=Icon",Progress Stepper,Unknown File,0
"Expanded=On, State=Default, Style=Regular",Accordion (Default),Unknown File,0
"Type=Single/Multiselect, State=Selected",List - Controls,Unknown File,0
"Type=Single/Multi-select, Lines=Multi, State=Selected, With icon=Yes",🚧 [DEPRECATED] List - Controls,Unknown File,0
Icon - Cactus & Avocado,,Unknown File,0
Icon - Three Layers,,Unknown File,0
"Platform=App, Type=Error, Icon (Optional)=Off, Text link (Optional)=On",🚧 [DEPRECATED] Notifications,Unknown File,0
Country=Slovakia (SK),Country flag,Unknown File,0
"State=Selected, Size=Medium",Text buttons,Unknown File,0
"Viewport=iOS: 375+, Selected tab=Bag",Navigation bar,Unknown File,0
Icon - Face Strong Positive (Filled),,Unknown File,0
"Platform=Web, Type=Standard link, State=Hover (web), Size=Small",🚧 [DEPRECATED] Link,Unknown File,0
Icon - Two Layers,,Unknown File,0
Icon - Rose,,Unknown File,0
"Type=Secondary, State=Hover, Size=Default",Button,Unknown File,0
"State=Hover, Type=Default",🚧 [DEPRECATED] Selector,Unknown File,0
"Type=Single/Multi-select, Lines=Single, State=Disabled, With icon=Yes",🚧 [DEPRECATED] List - Controls,Unknown File,0
Icon - Ruler vertical,,Unknown File,0
"Type=Single/Multi-select, Lines=Multi, State=Deselected, With icon=No",🚧 [DEPRECATED] List - Controls,Unknown File,0
Country=Romania (RO),Country flag,Unknown File,0
Icon - Snow,,Unknown File,0
Type=3. Halftime,Image ratio,Unknown File,0
"Type=List Item, Lines=One, Style=Regular, States=Disabled, Icon=False, Chevron=False",List - Item (Default),Unknown File,0
Icon - Goose,,Unknown File,0
"States=Selected, Type=Number, Orientation=Horizontal, Text=Two",🚧 [DEPRECATED] Progress Stepper,Unknown File,0
"Platform=App, Type=Success",Notifications,Unknown File,0
Country=Estonia (EE),Country flag,Unknown File,0
Icon - Sports Bags,,Unknown File,0
Icon - Shoulder bags,,Unknown File,0
Icon - Plus Size,,Unknown File,0
"Type=Category, Platform=iOS, State=Focused (Empty)",🚧 [DEPRECATED] Search bar,Unknown File,0
"Type=Follow button, Lines=Single, State=Selected, With icon=No",🚧 [DEPRECATED] List - Controls,Unknown File,0
icon - Glasses,,Unknown File,0
"Type=Filter, Platform=iOS, State=Default",Search bar,Unknown File,0
Country=Lithuania (LT),Country flag,Unknown File,0
Country=Latvia (LV),Country flag,Unknown File,0
"States=Disabled, Type=Icon, Orientation=Horizontal, Text=One",🚧 [DEPRECATED] Progress Stepper,Unknown File,0
"Type=Single/Multi-select, Lines=Multi, State=Disabled, With icon=No",🚧 [DEPRECATED] List - Controls,Unknown File,0
Size=Large,Plus Wordmark,Unknown File,0
"State=Hover (Web only), Platform=Web",Filter Dropdown Trigger,Unknown File,0
"Type=Filter, Platform=Android, State=Default",Search bar,Unknown File,0
"Platform=Web, Type=Success, Icon (Optional)=Off, Text link (Optional)=Off",🚧 [DEPRECATED] Notifications,Unknown File,0
"States=Disabled, Type=Number, Orientation=Horizontal, Text=Two",🚧 [DEPRECATED] Progress Stepper,Unknown File,0
"Type=Tertiary, State=Disabled, Size=Default",Button,Unknown File,0
"Platform=Web, State=Selected",Icon button - Reminder,Unknown File,0
State=Expanded,🚧 [DEPRECATED] Expandable container,Unknown File,0
Country=Belgium (BE),Country flag,Unknown File,0
Icon - Tall,,Unknown File,0
"Type=Switch, Lines=Multi, State=Deselected, With icon=No",🚧 [DEPRECATED] List - Controls,Unknown File,0
"Expanded=false, State=Default",Expandable container [Based on current component],Unknown File,0
"Platform=Web, Type=Error, Icon (Optional)=On, Text link (Optional)=Off",🚧 [DEPRECATED] Notifications,Unknown File,0
Icon - Christmas Tree,,Unknown File,0
"Panel=Default, State=Collapsed, Optional=On, Subtext=Off, Static content=Off",Panel,Unknown File,0
"Platform=Web, Type=Icon link, State=Hover (web), Size=Small",🚧 [DEPRECATED] Link,Unknown File,0
Icon - Tag,,Unknown File,0
Icon - Thumbs Down (filled),,Unknown File,0
"Type=Tertiary, State=Hover, Size=Default",Button,Unknown File,0
Icon - Sleeping bag (Babies),,Unknown File,0
"Platform=Web, Type=Default, Icon (Optional)=On, Text link (Optional)=On",🚧 [DEPRECATED] Notifications,Unknown File,0
Icon - Invitation Card,,Unknown File,0
Icon - Hat,,Unknown File,0
"Type=Single/Multi-select, Lines=Multi, State=Selected, With icon=No",🚧 [DEPRECATED] List - Controls,Unknown File,0
"Type=Switch, Lines=Single, State=Deselected, With icon=Yes",🚧 [DEPRECATED] List - Controls,Unknown File,0
"Platform=Web, Type=Default",Notifications,Unknown File,0
"Platform=Web, State=Disabled",Icon button - Trade-in,Unknown File,0
Icon - Underwear (Bra - Sports),,Unknown File,0
"Left action=Back (Arrow), Number of titles=1, Right Action=3 icons",Top bar (Android),Unknown File,0
Icon - Briefcase,,Unknown File,0
Icon - Shoes (Basketball),,Unknown File,0
"State=Hover, Size=Large",Text buttons,Unknown File,0
Icon - Petite,,Unknown File,0
Icon - Leaf,,Unknown File,0
"State=Hover, Size=Small",Text buttons,Unknown File,0
State=Hover,Reminder button,Unknown File,0
Icon - Underwear (Women),,Unknown File,0
Icon - Surfboard,,Unknown File,0
"Type=Wordmark, Color=White",Zalando Logo,Unknown File,0
"Type=Switch, Lines=Single, State=Selected, With icon=Yes",🚧 [DEPRECATED] List - Controls,Unknown File,0
"Platform=Web, Type=Navigation, Size=Large, State=Default",Link,Unknown File,0
"Platform=Android, Type=Standard link, State=Default, Size=Small",🚧 [DEPRECATED] Link,Unknown File,0
"With icon=False, State=Selected, Size=Default",Follow button,Unknown File,0
"Platform=iOS, CTA Length=Long, Intention=Ping",Dialog (App),Unknown File,0
"Panel=Default, State=Expanded, Optional=Off, Subtext=On, Static content=Off",Panel,Unknown File,0
"Checked=Off, State=Hover (web)",Checkbox,Unknown File,0
Icon - Face Positive (Filled),,Unknown File,0
Type=4 Levels,Breadcrumbs,Unknown File,0
"Type=🚧 [DEPRECATED] Logo, Lines=Three, Style=Bold, States=Default, Icon=False, Chevron=True",List - Item (Default),Unknown File,0
"Platform=App, Type=Default, Icon (Optional)=On, Text link (Optional)=Off",🚧 [DEPRECATED] Notifications,Unknown File,0
"Platform=App, Type=Icon, Size=Large, State=Default",Link,Unknown File,0
"Direction=Vertical, Text=None, State=Selected, Type=Number",Progress Stepper,Unknown File,0
Icon - Ellipse with arrow,,Unknown File,0
"Buttons=Vertical, Visual=Icon",Tooltip,Unknown File,0
Icon - Underwear (Nightwear),,Unknown File,0
Meter/With label,,Unknown File,0
"Platform=Web, Type=Icon, Size=Small, State=Default",Link,Unknown File,0
"Breakpoint=1024 (Desktop), Size=Medium, Header (Optional)=On, Title (Optional)=On, Footer (Optional)=On",Dialog (Web),Unknown File,0
"States=Disabled, Type=Number, Orientation=Vertical, Text=One",🚧 [DEPRECATED] Progress Stepper,Unknown File,0
"Type=List Item, Lines=Three, Style=Bold, States=Default, Icon=False, Chevron=False",List - Item (Default),Unknown File,0
Icon - Sportswear (Kids),,Unknown File,0
Icon - Underwear (Swimming trunks - Men),,Unknown File,0
Icon - Fingerprint,,Unknown File,0
Type=Native - Background,Dropdown Menu (Desktop),Unknown File,0
Breakpoints=1024 - 1279,Footer,Unknown File,0
"Type=Primary, State=Pressed, Size=Default",Button,Unknown File,0
Icon - Swimwear (Men),,Unknown File,0
Icon - Contrast ,,Unknown File,0
"States=Selected, Type=Number, Orientation=Vertical, Text=Two",🚧 [DEPRECATED] Progress Stepper,Unknown File,0
Icon - Maternity,,Unknown File,0
"Type=Category, Platform=iOS, State=Default",Search bar,Unknown File,0
Type=4. Third Party,Image ratio,Unknown File,0
Icon - Underwear (Bathrobes),,Unknown File,0
"Panel=Price, State=Expanded, Optional=Off, Subtext=Off, Static content=Off",Panel,Unknown File,0
"Type=Filter, Platform=Mobile web, State=Focused (Filled)",🚧 [DEPRECATED] Search bar,Unknown File,0
Icon - Underwear (Other),,Unknown File,0
"State=Active, Optional=No, Message=None",Text area,Unknown File,0
"Orientation=Horizontal, State=Paused",Video (Web),Unknown File,0
Icon - Armpit zipper,,Unknown File,0
"Type=Filter, Platform=Desktop, State=Default",Search bar,Unknown File,0
Icon - Tennisball,,Unknown File,0
Icon - Pretzel,,Unknown File,0
"Breakpoint=375 (Mobile), Size=Small, Header (Optional)=Off, Title (Optional)=Off, Footer (Optional)=Off",Dialog (Web),Unknown File,0
Icon - CVC (no line),,Unknown File,0
"Type=List Item, Lines=Three, Style=Bold, States=Default, Icon=False, Chevron=True",List - Item (Default),Unknown File,0
"Platform=Web, Type=Success, Icon (Optional)=On, Text link (Optional)=Off",🚧 [DEPRECATED] Notifications,Unknown File,0
"State=Default, Label=Yes, Optional=On, Message=Informative, Icon=Leading",Text input,Unknown File,0
"Type=Tertiary, State=Loading, Size=Default",Button,Unknown File,0
"Type=Color swatch, State=Disabled, Label=On, Optional=No, Message=None",🚧 [DEPRECATED] Dropdown Trigger (Default),Unknown File,0
Icon - Face Strong Negative (Filled),,Unknown File,0
State=Hover/Focus,Tabs,Unknown File,0
"Type=Filter, Platform=Desktop, State=Focused filled",Search bar,Unknown File,0
Icon - Water resistant,,Unknown File,0
"Buttons=Horizontal, Visual=None",Tooltip,Unknown File,0
"Left action=Back (Arrow), Number of titles=2, Right Action=3 icons",Top bar (Android),Unknown File,0
Icon - Hair Accessories,,Unknown File,0
Type=Horizontal,Checkbox group,Unknown File,0
"Breakpoint=480 (Phablet), Size=Small, Header (Optional)=On, Title (Optional)=On, Footer (Optional)=On",Dialog (Web),Unknown File,0
Page loader,,Unknown File,0
Icon - Telescope,,Unknown File,0
Type=Scrollable,Drawer,Unknown File,0
"Type=🚧 [DEPRECATED] Logo, Lines=Two, Style=Bold, States=Default, Icon=False, Chevron=True",List - Item (Default),Unknown File,0
"Type=Filter, Platform=Desktop, State=Focused (Filled)",🚧 [DEPRECATED] Search bar,Unknown File,0
Icon - Tracksuits,,Unknown File,0
"Platform=Web, Type=Error, Icon (Optional)=On, Text link (Optional)=On",🚧 [DEPRECATED] Notifications,Unknown File,0
"With icon=True, State=Hover, Size=Default",Follow button,Unknown File,0
Icon - Accessories Baby,,Unknown File,0
Icon - Stockings,,Unknown File,0
"Level=4 Superstar, Size=Small",Plus Levels Logo,Unknown File,0
"Orientation=Horizontal, State=Playing",Video (Web),Unknown File,0
"State=Default, Optional=Yes, Message=None",Text area,Unknown File,0
Icon -  Avatar G,,Unknown File,0
"Platform=App, Type=Error, Icon (Optional)=Off, Text link (Optional)=Off",🚧 [DEPRECATED] Notifications,Unknown File,0
Icon - Gloves,,Unknown File,0
"Buttons=Single, Visual=None",Tooltip,Unknown File,0
Icon - Hot Air Balloon,,Unknown File,0
Icon - tops,,Unknown File,0
Icon - Shoes (Open Shoes - Kids),,Unknown File,0
"Left action=Back (Arrow), Number of titles=1, Right Action=1 icon",Top bar (Android),Unknown File,0
"Type=Switch, Lines=Multi, State=Selected, With icon=Yes",🚧 [DEPRECATED] List - Controls,Unknown File,0
"Panel=Default, State=Collapsed, Optional=On, Subtext=On, Static content=On",Panel,Unknown File,0
Icon - Dance,,Unknown File,0
"Platform=Web, Type=Error, Icon (Optional)=Off, Text link (Optional)=On",🚧 [DEPRECATED] Notifications,Unknown File,0
Icon - Clutches,,Unknown File,0
Icon - Pool,,Unknown File,0
"Type=Switch, State=Selected",List - Controls,Unknown File,0
Icon - Facebook,,Unknown File,0
"On/off=Yes, State=Focus",Switch,Unknown File,0
"Type=Color swatch, State=Default, Label=On, Optional=No, Message=Error",🚧 [DEPRECATED] Dropdown Trigger (Default),Unknown File,0
"Expanded=on, Level=Level 1, State=Default",Accordion (Large),Unknown File,0
Icon - Shoes (Slippers),,Unknown File,0
"Type=Color swatch, State=Default, Label=On, Optional=No, Message=Informative",🚧 [DEPRECATED] Dropdown Trigger (Default),Unknown File,0
"Checked=On, State=Disabled",Checkbox,Unknown File,0
"Platform=Android, Type=Icon link, State=Default, Size=Medium",🚧 [DEPRECATED] Link,Unknown File,0
"Buttons=Vertical, Visual=Zingdings",Tooltip,Unknown File,0
"Type=Filter, Platform=Mobile web, State=Default",🚧 [DEPRECATED] Search bar,Unknown File,0
"State=Active, Badge=Yes",Dropdown Icon Trigger,Unknown File,0
"State=Selected, Size=Large",Text buttons,Unknown File,0
"Platform=iOS, CTA Length=Short, Intention=Inform",Dialog (App),Unknown File,0
Icon - Bell Set Plus (Outlined),,Unknown File,0
Icon - Beer,,Unknown File,0
"Left action=Back (Arrow), Number of titles=1, Right Action=2 icons",Top bar (Android),Unknown File,0
Icon - Pause Bars,,Unknown File,0
"State=Default, Label=Yes, Optional=On, Message=Error, Icon=Trailing",Text input,Unknown File,0
Icon - Necklaces (Men),,Unknown File,0
Icon - T-shirt Recycled,,Unknown File,0
"Buttons=Horizontal, Visual=Icon",Tooltip,Unknown File,0
"Type=Tertiary, State=Hover, Size=Small",Button,Unknown File,0
"Type=Primary, State=Focus, Size=Default",Button,Unknown File,0
"State=Disabled, Size=Small",Text buttons,Unknown File,0
"Panel=Default, State=Expanded, Optional=On, Subtext=On, Static content=On",Panel,Unknown File,0
Icon - Stretch fabric,,Unknown File,0
"State=Active, Label=Yes, Optional=Off, Message=None, Icon=Leading",Text input,Unknown File,0
"Type=List Item, Lines=Three, Style=Bold, States=Default, Icon=True, Chevron=False",List - Item (Default),Unknown File,0
Icon - Two rings,,Unknown File,0
"State=Default, Label=Yes, Optional=On, Message=Informative, Icon=Trailing",Text input,Unknown File,0
Icon - Shoes (Beach),,Unknown File,0
Type=Horizontal,Checkbox group,Unknown File,0
Icon - skiing,,Unknown File,0
"Viewport=Android, Selected tab=User account",Navigation bar,Unknown File,0
"Type=Category, Platform=Mobile web, State=Focused (Filled)",🚧 [DEPRECATED] Search bar,Unknown File,0
State=Disabled,.Breadcrumb link,Unknown File,0
"Platform=App, Outline=On",Icon button - Remove Close,Unknown File,0
State=Disabled,.Breadcrumb link,Unknown File,0
ic_eyeClosedDottedLine,,Unknown File,0
"Platform=iOS, CTA Length=Long, Intention=Inform",Dialog (App),Unknown File,0
