component_name,component_set_name,file_name,instances
"Type=List Item, Lines=One, Style=Bold, States=Default, Icon=True, Chevron=True",List - Item (Default),Unknown File,0
Icon - Bell (Outlined),,Unknown File,0
"Type=Secondary, State=Default, Size=Default",Button,Unknown File,0
Icon - Truck,,Unknown File,0
Size=16px (S),Spacer,Unknown File,0
Icon - Chevron Up,,Unknown File,0
Icon - Long Lasting,,Unknown File,0
"Type=List Item, Lines=One, Style=Regular, States=Default, Icon=True, Chevron=True",List - Item (Default),Unknown File,0
Icon - Zalando Logo Mark (Outlined),,Unknown File,0
Icon - Magnifying glass,,Unknown File,0
Size=4px (XXXS),Spacer,Unknown File,0
"Platform=Web, Type=Navigation link, State=Default, Size=Small",🚧 [DEPRECATED] Link,Unknown File,0
"Platform=Web, Type=Standard link, State=Default, Size=Large",🚧 [DEPRECATED] Link,Unknown File,0
Icon - Shopping bag (Full),,Unknown File,0
Icon - Plump,,Unknown File,0
"Number=Single, Resize=Original",Badge,Unknown File,0
"Number=Triple, Resize=Original",Badge,Unknown File,0
Icon - Box,,Unknown File,0
"Type=Read (Static), State=Default",Rating stars,Unknown File,0
"Type=List Item, Lines=Two, Style=Bold, States=Default, Icon=True, Chevron=True",List - Item (Default),Unknown File,0
Divider (Vertical),,Unknown File,0
Size=12px (XS),Spacer,Unknown File,0
Icon - Box Trade-in,,Unknown File,0
Layer=Foreground,Page control,Unknown File,0
Icon - Globe,,Unknown File,0
Platform=App,Icon button - More,Unknown File,0
"Type=Tertiary, State=Default, Size=Small",Button,Unknown File,0
State=Deselected,Radio button,Unknown File,0
"Type=Logo, Color=Original",Zalando Logo,Unknown File,0
Icon - Protection,,Unknown File,0
"State=Default, Platform=App & mWeb",Filter Dropdown Trigger,Unknown File,0
Breakpoint=Mobile 375 <-> 767,Carousel Header (Web),Unknown File,0
Icon - Moisturizing,,Unknown File,0
"Checked=Off, State=Default",Checkbox,Unknown File,0
"Platform=iOS, Type=Standard link, State=Default, Size=Medium",🚧 [DEPRECATED] Link,Unknown File,0
Layer=Background,Page control,Unknown File,0
"Platform=Web, Type=Icon link, State=Default, Size=Large",🚧 [DEPRECATED] Link,Unknown File,0
"Platform=iOS, Type=Icon link, State=Default, Size=Medium",🚧 [DEPRECATED] Link,Unknown File,0
Icon - Lock Closed,,Unknown File,0
Platform=iOS,Top bar catalogue,Unknown File,0
Icon - Box Transit,,Unknown File,0
"Number=Double, Resize=Original",Badge,Unknown File,0
"Thickness=1px, Colour=Black",Divider (Horizontal),Unknown File,0
Overlay,,Unknown File,0
"State=Default, Platform=Web",Filter Dropdown Trigger,Unknown File,0
"Platform=Web, Type=Navigation link, State=Default, Size=Medium",🚧 [DEPRECATED] Link,Unknown File,0
Icon - Help,,Unknown File,0
"With icon=True, State=Default, Size=Default",Follow button,Unknown File,0
"State=Default, Size=Large",Text buttons,Unknown File,0
Icon - Truck (Fast),,Unknown File,0
Breakpoints=1280+,Footer,Unknown File,0
Icon - Equalizer,,Unknown File,0
"Left action=Back (Arrow), Action=Icon",Top bar (iOS),Unknown File,0
Type=Left,Icon button - Navigation arrow,Unknown File,0
Type=Subtle,🚧 [DEPRECATED] Plus short,Unknown File,0
"Platform=Web, Outline=Off",Icon button - Remove Close,Unknown File,0
"Type=Tertiary, State=Default, Size=Default",Button,Unknown File,0
Size=36px (L),Spacer,Unknown File,0
"Type=List Item, Lines=One, Style=Bold, States=Default, Icon=False, Chevron=True",List - Item (Default),Unknown File,0
"Platform=App, State=Deselected",Icon button - Reminder,Unknown File,0
Icon - Star (Outlined),,Unknown File,0
Icon - Pencil,,Unknown File,0
Type=Short Link,Message,Unknown File,0
"Platform=App, Outline=Off",Icon button - Remove Close,Unknown File,0
Icon - Magnifying glass with lines,,Unknown File,0
Icon - Email,,Unknown File,0
"Platform=Web, Type=Standard link, State=Default, Size=Small",🚧 [DEPRECATED] Link,Unknown File,0
"State=Deselected, Description=Off, Message=None",🚧 [DEPRECATED] Radio button,Unknown File,0
"Platform=Web, Type=Icon link, State=Default, Size=Medium",🚧 [DEPRECATED] Link,Unknown File,0
