component_name,component_set_name,file_name,instances
"Type=Standard, Colour=Default, Breakpoint=768 - 1023, Sale=False",Product Card | Reco Carousel (Web),Unknown File,0
"Type=Standard, Colour=Default, Breakpoint=375 - 479, Sale=False",Product Card | Reco Carousel (Web),Unknown File,0
"Placement=Top Catalog, Entry-point=None, Countdown=True, VoucherCode=True",Sales Banner (Desktop web),Unknown File,0
"Paragraph=true, Carousel=true, Follow Brand=true, Inverted=false",Showstopper (App),Unknown File,0
"Type=Standard, Colour=Black, Sale=False, From (price)=True",Product Card | Reco Carousel (App),Unknown File,0
"Type=Standard, Breakpoint=375 - 479",Product Card | Wardrobe (Web) - Liked,Unknown File,0
Claim Type=Product,Sustainability Pills,Unknown File,0
"Platform=Desktop, Beauty=False, Sale=True, Price drop=False",🚧 [DEPRECATED] Pricing + Item Details,Unknown File,0
Type=PayPal,Payment Logo,Unknown File,0
"Sale=False, From (price)=True, Breakpoint=375 - 479",🚧 [deprecated] Product price,Unknown File,0
"Type=Beauty, Breakpoints=1280+, Sale=True, From (price)=False",Product Card | Catalogue (Web),Unknown File,0
"Type=Standard, Colour=White, Breakpoint=375 - 479, Sale=False",Product Card | Reco Carousel (Web),Unknown File,0
PDP Accordion / Size & fit,,Unknown File,0
"Platform=App, Description=01, Header=Yes",Detail - List,Unknown File,0
"Platform=App, Description=01, Header=No",Detail - List,Unknown File,0
"Platform=App & mWeb, Beauty=False, Sale=True, Price drop=False",🚧 [DEPRECATED] Pricing + Item Details,Unknown File,0
Type=Owned - Standard,Product Card | Wardrobe (App),Unknown File,0
"Type=Beauty, Colour=Default, Sale=False, From (price)=False",Product Card | Reco Carousel (App),Unknown File,0
"Single Size=True, State=Default",Size Picker - Entry Point,Unknown File,0
Type=Owned - Beauty,Product Card | Wardrobe (App),Unknown File,0
"Type=Outfit, Size=1280+, Header=Yes",Carousel ,Unknown File,0
"Device=App/Mobile, Carousel=Yes",Collection Card,Unknown File,0
"Type=Beauty, Colour=Default, Breakpoint=1280+, Sale=False",Product Card | Reco Carousel (Web),Unknown File,0
"Type=Beauty, Sale=False, Not available=False",Product Card | Cart,Unknown File,0
"Type=Standard, Breakpoints=768 - 1023, Sale=False, From (price)=False",Product Card | Catalogue (Web),Unknown File,0
"Sale=False, From (price)=False, Breakpoint=1024 - 1279",🚧 [deprecated] Product price,Unknown File,0
"Type=Beauty, Breakpoints=375 - 479, Sale=True, From (price)=False",Product Card | Catalogue (Web),Unknown File,0
"Type=Standard, Colour=Default, Breakpoint=1280+, Sale=True",Product Card | Reco Carousel (Web),Unknown File,0
Type=Invoice,Payment Logo,Unknown File,0
"Type=Standard, Delivery=Plus Premium, Sale=False, Not available=Off",Product Card | Checkout,Unknown File,0
"Paragraph=true, Carousel=false, Follow Brand=true, Inverted=true",Showstopper (App),Unknown File,0
"Breakpoint=Mobile, Icon=False, Info Button=True, Plus=False, Link=True",Incentive Banner,Unknown File,0
"Type=Pre-owned, Sale=False, From (price)=False",Product Card | Catalogue (App),Unknown File,0
Type=Diners Club,Payment Logo,Unknown File,0
