component_name,component_set_name,week,insertions,detachments
Type=Light mode,Home indicator (iOS),2025-12-28,191,0
"State=Selected, Platform=Web",Filter Dropdown Trigger,2025-12-28,2,0
"State=Default, Size=Medium",Text buttons,2025-12-28,16,0
Breakpoints=320 - 479,Footer,2025-12-28,18,0
"Left action=None, Action=Icon",Top bar (iOS),2025-12-28,3,0
"State=Selected w/ Badge, Type=Default",🚧 [DEPRECATED] Selector,2025-12-28,33,0
"On/off=Yes, State=Enabled",Switch,2025-12-28,11,0
"Breakpoint=1280+ (Desktop), Size=Small, Header (Optional)=On, Title (Optional)=On, Footer (Optional)=On",Dialog (Web),2025-12-28,1,0
Type=Short Link,Message,2025-12-28,10,0
Breakpoints=1280+,Footer,2025-12-28,2,0
"State=Default, Badge=No",Dropdown Icon Trigger,2025-12-28,30,0
Top bar=On,Action sheet,2025-12-28,1,0
Icons - View Items,,2025-12-28,2,0
"With icon=True, State=Selected, Size=Small",Follow button,2025-12-28,1,0
"State=Active, Label=No, Optional=Off, Message=None, Icon=None",Text input,2025-12-28,7,0
Icon - Face Positive (Outlined),,2025-12-28,1,0
"Type=List Item, Lines=Three, Style=Bold, States=Default, Icon=True, Chevron=True",List - Item (Default),2025-12-28,9,0
"Type=Swatch, State=Selected",Selector,2025-12-28,9,0
Type=Default,🚧 [DEPRECATED] Plus short,2025-12-28,1,0
Overlay,,2025-12-28,38,0
"Left action=Close (X), Number of titles=1, Right Action=None",Top bar (Android),2025-12-28,5,0
"Type=Category, Platform=iOS, State=Default",Search bar,2025-12-28,4,0
Icon - Face Neutral (Outlined),,2025-12-28,1,0
"Orientation=Horizontal, State=Initial",Video (Web),2025-12-28,7,2
Icon - Football American,,2025-12-28,9,0
"Viewport=iOS: 375+, Selected tab=Wishlist",Navigation bar,2025-12-28,7,0
"Platform=App, State=Selected",Icon button - Reminder,2025-12-28,3,0
"State=Default, Label=Yes, Optional=Off, Message=Informative, Icon=None",Text input,2025-12-28,2,0
"Type=Default, State=Active, Label=On, Optional=No, Message=None",🚧 [DEPRECATED] Dropdown Trigger (Default),2025-12-28,1,0
"Type=Tertiary, State=Focus, Size=Default",Button,2025-12-28,3,0
State=Deselected,Radio button,2025-12-28,5,0
"Platform=App, Type=Success, Icon (Optional)=On, Text link (Optional)=On",🚧 [DEPRECATED] Notifications,2025-12-28,2,0
"Platform=App, Size=Large (48x48), Outline=Yes, State=Deselected",Icon button - Wishlist,2025-12-28,10,0
Breakpoints=320 - 374,Header,2025-12-28,4,0
Icon - Lock Closed,,2025-12-28,57,7
Icon - Share (iOS),,2025-12-28,73,2
"Platform=Web, Type=Standard, Size=Small, State=Default",Link,2025-12-28,54,0
Platform=iOS: iPhone 6/7/8/SE,Status bar,2025-12-28,4,0
"Left action=Back (Arrow), Action=Text action",Top bar (iOS),2025-12-28,33,0
Type=Next (First Page),Pagination (Web),2025-12-28,1,0
"Type=Tertiary, State=Selected, Size=Default",Button,2025-12-28,3,0
Icon - Pencil,,2025-12-28,24,0
Icon - Information,,2025-12-28,217,0
Icon - Copy,,2025-12-28,18,0
"Checked=Off, State=Hover (web)",Checkbox,2025-12-28,3,0
Icon - Face Strong Negative (Outlined),,2025-12-28,1,0
"Platform=App, State=Loading",Icon button - Add to bag,2025-12-28,1,0
"Left action=Back (Arrow), Action=Icon",Top bar (iOS),2025-12-28,8,0
"Type=Default, State=Default",Dropdown Trigger (default),2025-12-28,12,0
Icon - Gift Box,,2025-12-28,2,0
Pill,,2025-12-28,96,0
"Type=Default, State=Selected w/Badge",Selector,2025-12-28,1,0
Icon - Email Approved,,2025-12-28,4,0
"Platform=Web, Type=Standard link, State=Default, Size=Large",🚧 [DEPRECATED] Link,2025-12-28,89,0
"Type=Filter, Platform=iOS, State=Default",Search bar,2025-12-28,4,0
"Platform=Mobile/App, Link color=Black, Overlay=On",Embedded Navigation,2025-12-28,1,0
"Type=Color swatch, State=Selected, Label=On, Optional=No, Message=None",🚧 [DEPRECATED] Dropdown Trigger (Default),2025-12-28,7,0
"Left action=Back (Arrow), Number of titles=1, Right Action=None",Top bar (Android),2025-12-28,2,0
"Type=Swatch, State=Hover",Selector,2025-12-28,1,0
Size=12px (XS),Spacer,2025-12-28,3,0
"State=Default, Label=No, Optional=Off, Message=None, Icon=Trailing",Text input,2025-12-28,8,0
Icon - Shopping bag (empty),,2025-12-28,41,0
Type=Default,🚧 [DEPRECATED] Plus short,2025-12-28,505,0
"Type=List Item, Lines=One, Style=Regular, States=Default, Icon=True, Chevron=True",List - Item (Default),2025-12-28,11,0
"Platform=Web, Type=Navigation link, State=Default, Size=Large",🚧 [DEPRECATED] Link,2025-12-28,10,0
Icon - Play Triangle,,2025-12-28,6,2
"Platform=Web, Size=Large (48x48), Outline=Yes, State=Deselected",Icon button - Wishlist,2025-12-28,1,0
State=Hover (Web only),Radio button,2025-12-28,2,0
"Left action=Back (Arrow), Action=None",Top bar (iOS),2025-12-28,31,2
Icon - Chevron Down,,2025-12-28,233,0
Type=1. Portrait,Image ratio,2025-12-28,26,0
State=Default,.Breadcrumb link,2025-12-28,10,0
"Platform=Desktop, Link color=White, Overlay=Off",Embedded Navigation,2025-12-28,6,0
Icon - More,,2025-12-28,230,0
Icon - Pin (Filled),,2025-12-28,2,0
"Platform=iOS, Type=Icon link, State=Default, Size=Medium",🚧 [DEPRECATED] Link,2025-12-28,2,0
"Number=Triple, Resize=Original",Badge,2025-12-28,2,0
"Type=Filter, Platform=Desktop, State=Default",Search bar,2025-12-28,2,0
Icon - Star (Filled),,2025-12-28,90,0
Icon - Avocado,,2025-12-28,9,0
"Platform=App, Outline=Off, State=Mute",Icon button - Mute sound,2025-12-28,2,0
Size=16px (S),Spacer,2025-12-21,31,0
"Number=Single, Resize=Original",Badge,2025-12-21,17,0
"Type=Tertiary, State=Default, Size=Small",Button,2025-12-21,12,0
"State=Default, Label=Yes, Optional=On, Message=None, Icon=None",Text input,2025-12-21,2,0
"Type=Category, Platform=Desktop, State=Default",Search bar,2025-12-21,1,0
Type=Informative,Input message,2025-12-21,1,0
